sid,schid,condition,tch_experience,sex,freelunch,race,content_area,score
1382,19,regular,6,girl,no,black,math,506
1382,19,regular,6,girl,no,black,reading,456
1383,74,regular.with.aide,8,boy,no,white,math,484
1383,74,regular.with.aide,8,boy,no,white,reading,440
1384,38,regular.with.aide,8,girl,yes,white,math,513
1384,38,regular.with.aide,8,girl,yes,white,reading,472
1385,20,regular.with.aide,12,girl,yes,black,math,463
1385,20,regular.with.aide,12,girl,yes,black,reading,437
1386,72,small.class,6,boy,yes,white,math,626
1386,72,small.class,6,boy,yes,white,reading,478
1387,22,regular,24,girl,yes,black,math,484
1387,22,regular,24,girl,yes,black,reading,430
1388,28,regular.with.aide,5,girl,yes,black,math,375
1388,28,regular.with.aide,5,girl,yes,black,reading,386
1389,51,regular,13,girl,no,white,math,444
1389,51,regular,13,girl,no,white,reading,403
1390,70,small.class,8,boy,yes,white,math,520
1390,70,small.class,8,boy,yes,white,reading,442
1391,35,regular,4,girl,yes,white,math,434
1391,35,regular,4,girl,yes,white,reading,395
1392,68,regular,16,boy,no,white,math,473
1392,68,regular,16,boy,no,white,reading,419
1393,72,regular,12,girl,yes,white,math,494
1393,72,regular,12,girl,yes,white,reading,422
1394,31,small.class,6,boy,yes,black,math,520
1394,31,small.class,6,boy,yes,black,reading,442
1395,46,small.class,4,boy,no,white,math,489
1395,46,small.class,4,boy,no,white,reading,453
1396,13,regular.with.aide,6,boy,no,white,math,484
1396,13,regular.with.aide,6,boy,no,white,reading,397
1397,32,regular.with.aide,0,girl,yes,black,math,392
1397,32,regular.with.aide,0,girl,yes,black,reading,403
1398,22,regular,24,boy,yes,black,math,520
1398,22,regular,24,boy,yes,black,reading,447
1399,12,regular.with.aide,12,boy,no,white,math,463
1399,12,regular.with.aide,12,boy,no,white,reading,414
1400,7,small.class,4,boy,no,white,math,602
1400,7,small.class,4,boy,no,white,reading,495
1401,72,regular,8,girl,no,white,math,602
1401,72,regular,8,girl,no,white,reading,485
1402,15,regular,11,boy,yes,black,math,506
1402,15,regular,11,boy,yes,black,reading,428
1403,20,small.class,21,girl,no,black,math,444
1403,20,small.class,21,girl,no,black,reading,431
1404,27,small.class,1,boy,yes,black,math,478
1404,27,small.class,1,boy,yes,black,reading,413
1405,22,small.class,9,girl,yes,black,math,520
1405,22,small.class,9,girl,yes,black,reading,416
1406,24,regular,6,boy,yes,black,math,489
1406,24,regular,6,boy,yes,black,reading,410
1407,47,small.class,11,boy,yes,white,math,449
1407,47,small.class,11,boy,yes,white,reading,408
1408,6,regular,1,boy,no,white,math,444
1408,6,regular,1,boy,no,white,reading,418
1409,64,regular,20,girl,yes,white,math,489
1409,64,regular,20,girl,yes,white,reading,436
1410,12,small.class,9,girl,no,white,math,576
1410,12,small.class,9,girl,no,white,reading,440
1411,70,regular.with.aide,14,boy,yes,white,math,429
1411,70,regular.with.aide,14,boy,yes,white,reading,408
1412,12,regular.with.aide,12,boy,no,white,math,528
1412,12,regular.with.aide,12,boy,no,white,reading,445
1413,24,small.class,5,boy,yes,black,math,454
1413,24,small.class,5,boy,yes,black,reading,437
1414,42,regular,14,girl,no,white,math,444
1414,42,regular,14,girl,no,white,reading,413
1415,8,regular,12,boy,yes,white,math,429
1415,8,regular,12,boy,yes,white,reading,405
1416,30,regular,10,boy,yes,black,math,494
1416,30,regular,10,boy,yes,black,reading,400
1417,23,regular,20,girl,no,black,math,602
1417,23,regular,20,girl,no,black,reading,474
1418,27,regular.with.aide,10,boy,no,black,math,494
1418,27,regular.with.aide,10,boy,no,black,reading,434
1419,37,regular.with.aide,0,boy,no,white,math,484
1419,37,regular.with.aide,0,boy,no,white,reading,451
1420,60,small.class,1,girl,no,white,math,484
1420,60,small.class,1,girl,no,white,reading,440
1421,47,regular,5,boy,yes,white,math,506
1421,47,regular,5,boy,yes,white,reading,424
1422,3,regular,8,boy,no,white,math,478
1422,3,regular,8,boy,no,white,reading,476
1423,48,regular.with.aide,13,boy,yes,white,math,444
1423,48,regular.with.aide,13,boy,yes,white,reading,405
1424,27,regular,0,girl,no,black,math,500
1424,27,regular,0,girl,no,black,reading,433
1425,47,regular,5,girl,no,white,math,468
1425,47,regular,5,girl,no,white,reading,419
1426,33,small.class,14,boy,yes,black,math,478
1426,33,small.class,14,boy,yes,black,reading,453
1427,28,regular.with.aide,10,girl,yes,black,math,454
1427,28,regular.with.aide,10,girl,yes,black,reading,402
1428,20,regular,4,boy,yes,black,math,418
1428,20,regular,4,boy,yes,black,reading,413
1429,24,regular.with.aide,10,girl,yes,black,math,454
1429,24,regular.with.aide,10,girl,yes,black,reading,408
1430,6,small.class,12,girl,yes,white,math,473
1430,6,small.class,12,girl,yes,white,reading,418
1431,51,regular.with.aide,12,boy,yes,white,math,513
1431,51,regular.with.aide,12,boy,yes,white,reading,545
1432,7,regular.with.aide,9,boy,yes,white,math,559
1432,7,regular.with.aide,9,boy,yes,white,reading,434
1433,21,small.class,14,girl,no,white,math,489
1433,21,small.class,14,girl,no,white,reading,434
1434,54,regular,13,boy,no,black,math,434
1434,54,regular,13,boy,no,black,reading,408
1435,32,regular.with.aide,0,boy,yes,black,math,459
1435,32,regular.with.aide,0,boy,yes,black,reading,402
1436,21,regular,1,girl,no,white,math,576
1436,21,regular,1,girl,no,white,reading,472
1437,64,regular,11,girl,no,white,math,494
1437,64,regular,11,girl,no,white,reading,443
1438,34,regular,17,girl,no,white,math,439
1438,34,regular,17,girl,no,white,reading,402
1439,72,regular,12,boy,no,white,math,506
1439,72,regular,12,boy,no,white,reading,456
1440,43,regular.with.aide,17,girl,no,white,math,459
1440,43,regular.with.aide,17,girl,no,white,reading,448
1441,46,regular.with.aide,0,boy,no,white,math,478
1441,46,regular.with.aide,0,boy,no,white,reading,436
1442,60,regular.with.aide,5,girl,no,white,math,444
1442,60,regular.with.aide,5,girl,no,white,reading,403
1443,6,small.class,12,girl,yes,white,math,454
1443,6,small.class,12,girl,yes,white,reading,416
1444,19,regular.with.aide,0,boy,yes,black,math,478
1444,19,regular.with.aide,0,boy,yes,black,reading,503
1445,52,regular.with.aide,18,boy,no,white,math,520
1445,52,regular.with.aide,18,boy,no,white,reading,451
1446,21,regular.with.aide,15,girl,yes,white,math,500
1446,21,regular.with.aide,15,girl,yes,white,reading,436
1447,61,regular,22,girl,no,white,math,520
1447,61,regular,22,girl,no,white,reading,447
1448,23,small.class,11,girl,yes,black,math,454
1448,23,small.class,11,girl,yes,black,reading,411
1449,42,small.class,10,girl,no,white,math,489
1449,42,small.class,10,girl,no,white,reading,455
1450,70,small.class,15,boy,yes,white,math,444
1450,70,small.class,15,boy,yes,white,reading,418
1451,3,regular,8,boy,no,black,math,459
1451,3,regular,8,boy,no,black,reading,448
1452,48,regular,4,boy,no,white,math,478
1452,48,regular,4,boy,no,white,reading,431
1453,60,regular.with.aide,5,boy,yes,white,math,434
1453,60,regular.with.aide,5,boy,yes,white,reading,430
1454,11,regular.with.aide,13,boy,yes,black,math,463
1454,11,regular.with.aide,13,boy,yes,black,reading,448
1455,50,regular,13,boy,no,white,math,478
1455,50,regular,13,boy,no,white,reading,439
1456,56,regular.with.aide,7,girl,yes,black,math,384
1456,56,regular.with.aide,7,girl,yes,black,reading,398
1457,66,regular.with.aide,3,boy,no,white,math,513
1457,66,regular.with.aide,3,boy,no,white,reading,424
1458,64,regular,20,girl,no,white,math,463
1458,64,regular,20,girl,no,white,reading,443
1459,63,regular,6,boy,no,white,math,463
1459,63,regular,6,boy,no,white,reading,422
1460,51,regular.with.aide,5,boy,yes,black,math,494
1460,51,regular.with.aide,5,boy,yes,black,reading,405
1461,57,small.class,8,boy,no,white,math,459
1461,57,small.class,8,boy,no,white,reading,418
1462,23,small.class,11,boy,no,black,math,500
1462,23,small.class,11,boy,no,black,reading,443
1463,51,regular,13,girl,no,white,math,528
1463,51,regular,13,girl,no,white,reading,495
1464,58,small.class,8,girl,no,white,math,473
1464,58,small.class,8,girl,no,white,reading,463
1465,8,small.class,13,girl,yes,white,math,444
1465,8,small.class,13,girl,yes,white,reading,402
1466,19,regular,6,girl,yes,black,math,463
1466,19,regular,6,girl,yes,black,reading,413
1467,75,regular,11,girl,no,white,math,626
1467,75,regular,11,girl,no,white,reading,554
1468,35,regular.with.aide,12,boy,yes,white,math,459
1468,35,regular.with.aide,12,boy,yes,white,reading,422
1469,26,small.class,1,boy,yes,black,math,423
1469,26,small.class,1,boy,yes,black,reading,393
1470,41,regular.with.aide,16,girl,no,white,math,513
1470,41,regular.with.aide,16,girl,no,white,reading,453
1471,56,regular,3,boy,yes,white,math,320
1471,56,regular,3,boy,yes,white,reading,315
1472,1,small.class,14,girl,no,white,math,576
1472,1,small.class,14,girl,no,white,reading,458
1473,75,regular,13,girl,no,white,math,449
1473,75,regular,13,girl,no,white,reading,445
1474,50,regular.with.aide,12,girl,no,white,math,520
1474,50,regular.with.aide,12,girl,no,white,reading,433
1475,55,regular,13,girl,yes,white,math,434
1475,55,regular,13,girl,yes,white,reading,400
1476,13,regular,6,girl,no,white,math,520
1476,13,regular,6,girl,no,white,reading,437
1477,51,regular,13,boy,no,white,math,473
1477,51,regular,13,boy,no,white,reading,470
1478,29,regular,5,girl,yes,black,math,468
1478,29,regular,5,girl,yes,black,reading,422
1479,49,regular,11,boy,yes,white,math,439
1479,49,regular,11,boy,yes,white,reading,416
1480,22,regular.with.aide,7,girl,yes,black,math,468
1480,22,regular.with.aide,7,girl,yes,black,reading,418
1481,12,regular,20,boy,no,white,math,536
1481,12,regular,20,boy,no,white,reading,422
1482,16,small.class,2,girl,yes,black,math,412
1482,16,small.class,2,girl,yes,black,reading,397
1483,27,regular,12,boy,yes,black,math,528
1483,27,regular,12,boy,yes,black,reading,467
1484,40,small.class,4,girl,no,white,math,602
1484,40,small.class,4,girl,no,white,reading,492
1485,28,regular.with.aide,10,boy,yes,black,math,468
1485,28,regular.with.aide,10,boy,yes,black,reading,450
1486,61,regular,22,girl,no,white,math,513
1486,61,regular,22,girl,no,white,reading,453
1487,31,regular.with.aide,11,boy,yes,black,math,520
1487,31,regular.with.aide,11,boy,yes,black,reading,447
1488,15,regular.with.aide,3,boy,yes,black,math,454
1488,15,regular.with.aide,3,boy,yes,black,reading,414
1489,16,regular.with.aide,6,boy,yes,black,math,434
1489,16,regular.with.aide,6,boy,yes,black,reading,391
1490,12,small.class,9,boy,yes,white,math,478
1490,12,small.class,9,boy,yes,white,reading,431
1491,3,regular,8,boy,no,white,math,559
1491,3,regular,8,boy,no,white,reading,443
1492,22,regular,11,girl,yes,black,math,459
1492,22,regular,11,girl,yes,black,reading,400
1493,61,regular,22,boy,yes,white,math,468
1493,61,regular,22,boy,yes,white,reading,430
1494,41,regular.with.aide,16,girl,no,white,math,473
1494,41,regular.with.aide,16,girl,no,white,reading,460
1495,70,regular,10,boy,yes,white,math,500
1495,70,regular,10,boy,yes,white,reading,425
1496,73,regular,19,girl,no,white,math,528
1496,73,regular,19,girl,no,white,reading,495
1497,22,regular,11,boy,yes,black,math,434
1497,22,regular,11,boy,yes,black,reading,397
1498,72,regular.with.aide,10,boy,yes,white,math,449
1498,72,regular.with.aide,10,boy,yes,white,reading,411
1499,72,regular,12,girl,no,white,math,513
1499,72,regular,12,girl,no,white,reading,437
1500,80,regular,4,boy,no,white,math,454
1500,80,regular,4,boy,no,white,reading,418
1501,69,regular,16,girl,yes,white,math,484
1501,69,regular,16,girl,yes,white,reading,465
1502,72,regular,8,girl,yes,white,math,478
1502,72,regular,8,girl,yes,white,reading,425
1503,22,regular,24,boy,yes,black,math,434
1503,22,regular,24,boy,yes,black,reading,424
1504,64,small.class,19,boy,yes,white,math,454
1504,64,small.class,19,boy,yes,white,reading,398
1505,37,regular.with.aide,11,girl,yes,white,math,547
1505,37,regular.with.aide,11,girl,yes,white,reading,461
1506,9,small.class,7,girl,yes,white,math,494
1506,9,small.class,7,girl,yes,white,reading,456
1507,43,regular,3,boy,no,white,math,520
1507,43,regular,3,boy,no,white,reading,422
1508,9,small.class,13,boy,no,white,math,468
1508,9,small.class,13,boy,no,white,reading,442
1509,3,regular.with.aide,9,boy,no,white,math,449
1509,3,regular.with.aide,9,boy,no,white,reading,405
1510,1,regular.with.aide,9,girl,no,white,math,468
1510,1,regular.with.aide,9,girl,no,white,reading,437
1511,9,regular.with.aide,14,girl,no,white,math,576
1511,9,regular.with.aide,14,girl,no,white,reading,580
1512,58,regular.with.aide,17,boy,no,white,math,520
1512,58,regular.with.aide,17,boy,no,white,reading,455
1513,8,regular,12,boy,no,white,math,513
1513,8,regular,12,boy,no,white,reading,456
1514,3,small.class,9,boy,no,white,math,520
1514,3,small.class,9,boy,no,white,reading,492
1515,44,regular.with.aide,0,boy,yes,black,math,478
1515,44,regular.with.aide,0,boy,yes,black,reading,433
1516,32,small.class,1,girl,yes,black,math,449
1516,32,small.class,1,girl,yes,black,reading,448
1517,72,regular,12,boy,yes,white,math,484
1517,72,regular,12,boy,yes,white,reading,460
1518,60,regular,13,girl,yes,white,math,478
1518,60,regular,13,girl,yes,white,reading,461
1519,63,regular.with.aide,12,boy,no,white,math,528
1519,63,regular.with.aide,12,boy,no,white,reading,456
1520,23,regular.with.aide,21,girl,yes,black,math,484
1520,23,regular.with.aide,21,girl,yes,black,reading,407
1521,23,regular.with.aide,21,girl,yes,black,math,473
1521,23,regular.with.aide,21,girl,yes,black,reading,413
1522,1,regular.with.aide,9,girl,no,white,math,528
1522,1,regular.with.aide,9,girl,no,white,reading,465
1523,2,regular,6,boy,yes,white,math,473
1523,2,regular,6,boy,yes,white,reading,411
1524,16,regular,8,boy,yes,black,math,468
1524,16,regular,8,boy,yes,black,reading,411
1525,10,regular,3,girl,no,white,math,559
1525,10,regular,3,girl,no,white,reading,565
1526,36,regular.with.aide,14,boy,no,white,math,528
1526,36,regular.with.aide,14,boy,no,white,reading,443
1527,12,small.class,9,girl,yes,white,math,444
1527,12,small.class,9,girl,yes,white,reading,437
1528,44,regular,24,boy,yes,black,math,536
1528,44,regular,24,boy,yes,black,reading,411
1529,34,regular.with.aide,5,boy,no,white,math,449
1529,34,regular.with.aide,5,boy,no,white,reading,422
1530,65,regular.with.aide,9,girl,yes,white,math,463
1530,65,regular.with.aide,9,girl,yes,white,reading,434
1531,68,regular,10,girl,yes,black,math,500
1531,68,regular,10,girl,yes,black,reading,474
1532,63,regular,6,boy,yes,white,math,506
1532,63,regular,6,boy,yes,white,reading,424
1533,45,small.class,3,boy,yes,black,math,423
1533,45,small.class,3,boy,yes,black,reading,386
1534,23,regular,1,girl,yes,black,math,468
1534,23,regular,1,girl,yes,black,reading,408
1535,27,regular,6,girl,yes,black,math,602
1535,27,regular,6,girl,yes,black,reading,472
1536,51,regular.with.aide,12,boy,no,white,math,506
1536,51,regular.with.aide,12,boy,no,white,reading,448
1537,15,regular.with.aide,3,girl,yes,black,math,463
1537,15,regular.with.aide,3,girl,yes,black,reading,407
1538,28,small.class,6,boy,yes,black,math,513
1538,28,small.class,6,boy,yes,black,reading,434
1539,42,regular.with.aide,3,girl,yes,black,math,429
1539,42,regular.with.aide,3,girl,yes,black,reading,393
1540,16,small.class,2,boy,yes,black,math,423
1540,16,small.class,2,boy,yes,black,reading,414
1541,71,regular,6,boy,no,white,math,454
1541,71,regular,6,boy,no,white,reading,410
1542,37,regular,5,boy,no,white,math,478
1542,37,regular,5,boy,no,white,reading,433
1543,56,regular,13,girl,no,white,math,429
1543,56,regular,13,girl,no,white,reading,405
1544,6,regular.with.aide,11,boy,no,white,math,459
1544,6,regular.with.aide,11,boy,no,white,reading,433
1545,22,regular,1,boy,yes,black,math,506
1545,22,regular,1,boy,yes,black,reading,425
1546,22,regular,1,boy,yes,black,math,429
1546,22,regular,1,boy,yes,black,reading,408
1547,4,regular,8,girl,no,white,math,468
1547,4,regular,8,girl,no,white,reading,445
1548,27,regular,12,boy,yes,black,math,528
1548,27,regular,12,boy,yes,black,reading,478
1549,9,regular.with.aide,11,boy,no,white,math,444
1549,9,regular.with.aide,11,boy,no,white,reading,445
1550,64,regular,11,boy,no,white,math,484
1550,64,regular,11,boy,no,white,reading,450
1551,28,regular,9,girl,yes,black,math,473
1551,28,regular,9,girl,yes,black,reading,430
1552,63,regular,6,boy,no,white,math,375
1552,63,regular,6,boy,no,white,reading,398
1553,61,small.class,7,boy,no,white,math,500
1553,61,small.class,7,boy,no,white,reading,447
1554,41,regular.with.aide,16,girl,no,white,math,528
1554,41,regular.with.aide,16,girl,no,white,reading,440
1555,33,regular.with.aide,22,girl,yes,black,math,444
1555,33,regular.with.aide,22,girl,yes,black,reading,411
1556,16,small.class,1,girl,yes,black,math,468
1556,16,small.class,1,girl,yes,black,reading,405
1557,64,regular,11,boy,no,white,math,459
1557,64,regular,11,boy,no,white,reading,424
1558,19,regular,6,boy,yes,black,math,418
1558,19,regular,6,boy,yes,black,reading,413
1559,27,regular,12,girl,yes,black,math,528
1559,27,regular,12,girl,yes,black,reading,456
1560,72,small.class,6,boy,yes,white,math,602
1560,72,small.class,6,boy,yes,white,reading,474
1561,47,small.class,11,girl,no,white,math,468
1561,47,small.class,11,girl,no,white,reading,391
1562,27,regular.with.aide,20,boy,yes,black,math,520
1562,27,regular.with.aide,20,boy,yes,black,reading,483
1563,42,small.class,10,girl,yes,black,math,429
1563,42,small.class,10,girl,yes,black,reading,424
1564,6,regular.with.aide,11,boy,no,white,math,494
1564,6,regular.with.aide,11,boy,no,white,reading,425
1565,62,regular,16,girl,no,white,math,489
1565,62,regular,16,girl,no,white,reading,450
1566,41,regular.with.aide,16,girl,no,white,math,489
1566,41,regular.with.aide,16,girl,no,white,reading,450
1567,1,regular.with.aide,9,girl,no,white,math,506
1567,1,regular.with.aide,9,girl,no,white,reading,465
1568,4,regular.with.aide,7,boy,no,black,math,513
1568,4,regular.with.aide,7,boy,no,black,reading,424
1569,3,small.class,9,boy,no,white,math,494
1569,3,small.class,9,boy,no,white,reading,463
1570,57,regular.with.aide,8,boy,yes,white,math,468
1570,57,regular.with.aide,8,boy,yes,white,reading,419
1571,60,regular.with.aide,5,boy,no,white,math,576
1571,60,regular.with.aide,5,boy,no,white,reading,507
1572,47,regular,5,boy,no,white,math,494
1572,47,regular,5,boy,no,white,reading,416
1573,54,regular.with.aide,7,girl,no,white,math,434
1573,54,regular.with.aide,7,girl,no,white,reading,402
1574,63,regular.with.aide,12,girl,no,white,math,513
1574,63,regular.with.aide,12,girl,no,white,reading,453
1575,58,regular.with.aide,17,boy,no,white,math,513
1575,58,regular.with.aide,17,boy,no,white,reading,448
1576,72,regular.with.aide,10,boy,no,white,math,468
1576,72,regular.with.aide,10,boy,no,white,reading,410
1577,18,regular.with.aide,11,girl,no,black,math,478
1577,18,regular.with.aide,11,girl,no,black,reading,414
1578,14,small.class,13,girl,yes,black,math,468
1578,14,small.class,13,girl,yes,black,reading,422
1579,19,regular.with.aide,1,boy,yes,black,math,506
1579,19,regular.with.aide,1,boy,yes,black,reading,428
1580,27,regular,0,girl,yes,black,math,418
1580,27,regular,0,girl,yes,black,reading,427
1581,70,regular.with.aide,27,boy,yes,white,math,463
1581,70,regular.with.aide,27,boy,yes,white,reading,428
1582,9,regular,8,boy,yes,white,math,434
1582,9,regular,8,boy,yes,white,reading,413
1583,9,regular,5,girl,no,white,math,489
1583,9,regular,5,girl,no,white,reading,447
1584,63,regular.with.aide,12,boy,no,black,math,459
1584,63,regular.with.aide,12,boy,no,black,reading,439
1585,59,regular.with.aide,8,boy,yes,white,math,468
1585,59,regular.with.aide,8,boy,yes,white,reading,436
1586,57,regular,2,boy,no,white,math,602
1586,57,regular,2,boy,no,white,reading,436
1587,3,regular.with.aide,20,boy,no,white,math,506
1587,3,regular.with.aide,20,boy,no,white,reading,527
1588,74,regular,13,boy,no,white,math,484
1588,74,regular,13,boy,no,white,reading,422
1589,42,regular,14,boy,no,white,math,500
1589,42,regular,14,boy,no,white,reading,448
1590,25,regular,18,girl,yes,white,math,423
1590,25,regular,18,girl,yes,white,reading,402
1591,41,small.class,18,girl,no,other,math,506
1591,41,small.class,18,girl,no,other,reading,476
1592,24,small.class,13,girl,no,white,math,536
1592,24,small.class,13,girl,no,white,reading,456
1593,49,regular.with.aide,9,boy,no,white,math,459
1593,49,regular.with.aide,9,boy,no,white,reading,427
1594,18,regular,9,girl,yes,black,math,449
1594,18,regular,9,girl,yes,black,reading,408
1595,79,regular.with.aide,12,boy,no,white,math,444
1595,79,regular.with.aide,12,boy,no,white,reading,421
1596,68,regular,10,girl,yes,black,math,494
1596,68,regular,10,girl,yes,black,reading,500
1597,59,regular,0,boy,no,white,math,547
1597,59,regular,0,boy,no,white,reading,514
1598,55,regular.with.aide,13,girl,yes,white,math,449
1598,55,regular.with.aide,13,girl,yes,white,reading,437
1599,25,regular.with.aide,2,boy,yes,white,math,536
1599,25,regular.with.aide,2,boy,yes,white,reading,456
1600,57,regular.with.aide,8,girl,no,white,math,626
1600,57,regular.with.aide,8,girl,no,white,reading,545
1601,40,regular,2,girl,yes,white,math,506
1601,40,regular,2,girl,yes,white,reading,453
1602,28,small.class,2,girl,yes,black,math,405
1602,28,small.class,2,girl,yes,black,reading,402
1603,19,small.class,2,boy,yes,black,math,454
1603,19,small.class,2,boy,yes,black,reading,414
1604,46,small.class,4,girl,yes,white,math,459
1604,46,small.class,4,girl,yes,white,reading,400
1605,3,regular.with.aide,20,girl,no,white,math,478
1605,3,regular.with.aide,20,girl,no,white,reading,460
1606,76,regular,1,boy,no,white,math,439
1606,76,regular,1,boy,no,white,reading,403
1607,37,regular,5,girl,no,white,math,602
1607,37,regular,5,girl,no,white,reading,492
1608,1,regular,5,girl,yes,black,math,454
1608,1,regular,5,girl,yes,black,reading,414
1609,3,regular.with.aide,20,girl,no,white,math,478
1609,3,regular.with.aide,20,girl,no,white,reading,424
1610,51,regular.with.aide,12,girl,no,white,math,489
1610,51,regular.with.aide,12,girl,no,white,reading,411
1611,20,regular.with.aide,1,girl,yes,black,math,500
1611,20,regular.with.aide,1,girl,yes,black,reading,433
1612,22,regular.with.aide,7,girl,yes,black,math,444
1612,22,regular.with.aide,7,girl,yes,black,reading,416
1613,66,small.class,10,boy,no,white,math,454
1613,66,small.class,10,boy,no,white,reading,437
1614,9,small.class,7,girl,no,white,math,559
1614,9,small.class,7,girl,no,white,reading,450
1615,24,small.class,13,girl,no,black,math,536
1615,24,small.class,13,girl,no,black,reading,443
1616,74,regular,13,boy,yes,white,math,473
1616,74,regular,13,boy,yes,white,reading,410
1617,55,regular,13,boy,no,white,math,459
1617,55,regular,13,boy,no,white,reading,410
1618,28,regular.with.aide,10,boy,yes,black,math,423
1618,28,regular.with.aide,10,boy,yes,black,reading,419
1619,60,regular,13,girl,yes,white,math,429
1619,60,regular,13,girl,yes,white,reading,403
1620,57,small.class,1,boy,yes,black,math,454
1620,57,small.class,1,boy,yes,black,reading,419
1621,80,regular.with.aide,13,boy,yes,white,math,434
1621,80,regular.with.aide,13,boy,yes,white,reading,390
1622,52,regular,12,boy,no,white,math,536
1622,52,regular,12,boy,no,white,reading,463
1623,9,regular.with.aide,11,girl,yes,white,math,473
1623,9,regular.with.aide,11,girl,yes,white,reading,451
1624,48,small.class,21,boy,yes,white,math,500
1624,48,small.class,21,boy,yes,white,reading,461
1625,28,small.class,3,boy,no,black,math,520
1625,28,small.class,3,boy,no,black,reading,467
1626,10,small.class,12,boy,no,white,math,506
1626,10,small.class,12,boy,no,white,reading,497
1627,58,regular,3,boy,no,black,math,449
1627,58,regular,3,boy,no,black,reading,430
1628,28,regular,7,boy,yes,black,math,478
1628,28,regular,7,boy,yes,black,reading,425
1629,12,regular.with.aide,12,girl,yes,white,math,494
1629,12,regular.with.aide,12,girl,yes,white,reading,443
1630,48,small.class,21,girl,yes,white,math,506
1630,48,small.class,21,girl,yes,white,reading,472
1631,51,regular.with.aide,5,boy,no,white,math,473
1631,51,regular.with.aide,5,boy,no,white,reading,424
1632,8,regular,12,girl,no,white,math,536
1632,8,regular,12,girl,no,white,reading,439
1633,4,regular,8,girl,yes,white,math,439
1633,4,regular,8,girl,yes,white,reading,410
1634,60,small.class,11,boy,no,black,math,449
1634,60,small.class,11,boy,no,black,reading,434
1635,41,regular,15,girl,no,white,math,626
1635,41,regular,15,girl,no,white,reading,580
1636,57,regular,2,girl,no,white,math,449
1636,57,regular,2,girl,no,white,reading,407
1637,80,small.class,12,boy,yes,white,math,520
1637,80,small.class,12,boy,yes,white,reading,467
1638,68,regular,16,boy,yes,black,math,494
1638,68,regular,16,boy,yes,black,reading,480
1639,34,small.class,2,boy,no,white,math,468
1639,34,small.class,2,boy,no,white,reading,439
1640,8,regular.with.aide,12,girl,yes,white,math,459
1640,8,regular.with.aide,12,girl,yes,white,reading,433
1641,59,small.class,11,boy,yes,white,math,528
1641,59,small.class,11,boy,yes,white,reading,472
1642,24,regular.with.aide,10,girl,no,black,math,513
1642,24,regular.with.aide,10,girl,no,black,reading,448
1643,22,regular,11,boy,yes,black,math,478
1643,22,regular,11,boy,yes,black,reading,405
1644,17,small.class,5,girl,no,white,math,439
1644,17,small.class,5,girl,no,white,reading,402
1645,25,small.class,12,boy,no,black,math,468
1645,25,small.class,12,boy,no,black,reading,418
1646,19,regular,6,boy,yes,black,math,384
1646,19,regular,6,boy,yes,black,reading,398
1647,28,regular,9,girl,no,black,math,513
1647,28,regular,9,girl,no,black,reading,503
1648,28,small.class,3,boy,no,black,math,506
1648,28,small.class,3,boy,no,black,reading,465
1649,58,regular.with.aide,3,girl,no,white,math,473
1649,58,regular.with.aide,3,girl,no,white,reading,421
1650,1,regular.with.aide,9,boy,yes,black,math,468
1650,1,regular.with.aide,9,boy,yes,black,reading,434
1651,8,regular.with.aide,12,girl,yes,white,math,412
1651,8,regular.with.aide,12,girl,yes,white,reading,393
1652,40,small.class,4,boy,yes,white,math,473
1652,40,small.class,4,boy,yes,white,reading,419
1653,49,small.class,8,boy,no,white,math,506
1653,49,small.class,8,boy,no,white,reading,453
1654,15,regular.with.aide,3,girl,yes,black,math,489
1654,15,regular.with.aide,3,girl,yes,black,reading,468
1655,18,regular.with.aide,11,boy,yes,black,math,478
1655,18,regular.with.aide,11,boy,yes,black,reading,421
1656,28,regular,9,girl,no,black,math,528
1656,28,regular,9,girl,no,black,reading,451
1657,55,regular,13,boy,no,white,math,513
1657,55,regular,13,boy,no,white,reading,442
1658,9,small.class,13,girl,no,white,math,506
1658,9,small.class,13,girl,no,white,reading,472
1659,48,regular,4,boy,no,white,math,536
1659,48,regular,4,boy,no,white,reading,480
1660,29,small.class,5,boy,yes,black,math,500
1660,29,small.class,5,boy,yes,black,reading,468
1661,49,regular,11,boy,yes,black,math,484
1661,49,regular,11,boy,yes,black,reading,478
1662,39,regular.with.aide,5,girl,yes,white,math,418
1662,39,regular.with.aide,5,girl,yes,white,reading,408
1663,60,regular.with.aide,5,boy,yes,white,math,500
1663,60,regular.with.aide,5,boy,yes,white,reading,419
1664,44,regular,24,boy,yes,black,math,547
1664,44,regular,24,boy,yes,black,reading,436
1665,5,small.class,8,boy,no,white,math,520
1665,5,small.class,8,boy,no,white,reading,532
1666,9,regular.with.aide,11,boy,no,white,math,463
1666,9,regular.with.aide,11,boy,no,white,reading,447
1667,9,small.class,7,boy,yes,white,math,444
1667,9,small.class,7,boy,yes,white,reading,430
1668,7,regular,15,girl,no,white,math,536
1668,7,regular,15,girl,no,white,reading,460
1669,56,regular,3,boy,no,white,math,423
1669,56,regular,3,boy,no,white,reading,416
1670,75,regular,13,girl,no,white,math,444
1670,75,regular,13,girl,no,white,reading,445
1671,74,small.class,12,boy,no,white,math,513
1671,74,small.class,12,boy,no,white,reading,437
1672,62,regular,16,girl,no,white,math,520
1672,62,regular,16,girl,no,white,reading,430
